bot or human,userid,text
h,1552999445175930880,"On August 18, Russians fired on civilians in Sumy Oblast. Were damaged private houses of civilians and a school was destroyed.  Fortunately, there were no casualties. #ArmUkraineNow #RussiaIsATerroristState #russiaisaterroriststate #GenocideOfUkrainians #StopRussianAggression https://t.co/9KDgL3ESw4 The massive rocket attack on Kharkiv and Krasnograd, organized by the Russians, is an act of terrorism.
Russian terrorists purposefully hit residential buildings with rockets in Kharkiv and in the Krasnograd. #RussiaIsATerroristState https://t.co/4W9PnCua41 In Mykolaiv, the Black Sea National University was hit again by Russians. #ArmUkraineNow #RussiaIsATerroristState #russiaisaterroriststate #GenocideOfUkrainians #StopRussianAggression #StopRussiaNOW https://t.co/8NXxVoa3vw A 36-year-old man died in the Dnipropetrovsk region as a result of Russian shelling. #ArmUkraineNow #RussiaIsATerroristState #russiaisaterroriststate #GenocideOfUkrainians #StopRussianAggression #StopRussiaNOW https://t.co/wu2nY7i9fq On the morning of August 19, Russians shelled two educational institutions in Kramatorsk.  The buildings were partially destroyed, and there were no victims. #ArmUkraineNow #RussiaIsATerroristState #russiaisaterroriststate #GenocideOfUkrainians #StopRussianAggression https://t.co/6ox3U2L1vn 6 people and a child died as a result of Russian shelling of a hostel in Kharkiv. The rescuers finished dismantling the rubble of the dormitory. 9 people were saved. #ArmUkraineNow #RussiaIsATerroristState #russiaisaterroriststate #GenocideOfUkrainians #StopRussianAggression https://t.co/4hIjNzACqZ"
h,1553327865030221824,"no more words 
only simple reminder: #RussiaIsATerroristState https://t.co/bRQDI449ai"
h,1553750248438341637,"A scary existence. One moment, chatting, the next, protecting/being protected with what's at hand, sometimes just ones body for those cared about.

May the war end soon and existence not be like this any more.

#SlavaUkraine #RussiaIsATerroristState https://t.co/KjyTOTU3HX @Tobias_Ellwood @thetimes We need @NATO  to agree with this and make a statement to that effect, immediately.

#RussiaIsATerroristState"
h,1554800272475672585,Friedrich Merz for German Chancellor !! #UkraineRussiaWar https://t.co/2Iu2rdQnmh Tow Missiles for #Ukraine in the latest US aid package. Now we just need Abu Tow to instruct how to operate. He wants russia to win the 1st place turret-throwing trophy ! https://t.co/dsZTDL1RJ8 Aaaaaaaand there it is. Urging genocide upon the civilians of #Ukraine https://t.co/bbWZ6RnE86
h,1555513811695972352,"BREAKING: #US clandestinely supplied #Ukraine with #AGM-88 HARM anti-radar missiles, was reported by media. https://t.co/jjzkGtF0gx Russian bloggers claimed to have recovered remnants of a #High-Speed Anti-Radiation Missile (HARM) that impacted with the Russian anti-missile system in #Ukraine. The Pentagon confirmed #Kiev's HARM shipment. BREAKING: After workers at Russia's nuclear #Zaporozhye Nuclear Power plant in southern Ukraine were advised to remain home on Friday, DPA reported that #Ukrainian military intelligence has warned of a probable Russian operation at the plant on August 19. https://t.co/Ooo9bRaeMG The #Russian invaders of Europe's largest nuclear power plant have announced an unexpected day off for Friday, the @DefenceU posted on @facebook. BREAKING: New blasts were heard during the night in the #Crimea and the #Russian #Belgorodska area. Crimea authorities claim that the air-defense system has been activated in #Kerch, however they fail to disclose why. https://t.co/YafGGHafDS BREAKING: The declared by the #Russian occupiers intent to stop the #Zaporozhye Nuclear Power plant can lead to a #Fukushima-like disaster. This statement was made by experts from the State Inspection for Nuclear Regulation of #Ukraine. https://t.co/WSuEVDSWVI BREAKING: @UN Secretary General Antonio Guterres @antonioguterres requested that the occupied by #Russia #Zaporozhye Nuclear Power plant not to be shut down, after #Ukraine disclosed that #Russia is planning to do just that. https://t.co/UQKQlEgLjW BREAKING: Turkish President Recep Tayyip Erdoğan @RTErdogan proposed to his Ukrainian counterpart #Zelensky a meeting with #Russian President Putin. https://t.co/LE5MA9Yukt “Turkey is ready to facilitate the end of the conflict in any way,” said Erdogan in front of media on his way back from the recent meeting with Zelensky in #Ukraine. The Ukrainian President said that such talks are possible “only when the Russian forces leave Ukraine.” BREAKING: The power from the #ZaporozhyeNuclearPowerPlant belongs to #Ukraine. This was declared by @UN Secretary General Antonio Guterres @antonioguterres. https://t.co/JjUjvWWbjV Asked about the prospects of channeling the energy flow to #Russia, Guterres stated that the nuclear plant should be demilitarized."
h,1556994903749677060,#Ukraine My Ukraine Football team #football https://t.co/7zch47JcIz Who should I do next #Ukraine #football #Casemiro https://t.co/I66Ic4TJBN
h,1558501904543584258,"A Map Update of the approximate Situation of the 
#Russia/n Invasion of #Ukraine as of 21:30 EEST 
(Ukraine Time zone) 19.08.2022
(Thread)

Link to the Map: https://t.co/Yx6FJqy5hb 1. Important Incidents:

- An Ammo Depot is on fire in the #Timonovo (#Belgorod Region) #Russia. 

- A Drone was shot down over near Belbek Airfiled (Occupied #Crimea)

- A #Drone was shot down over #Kerch (Occupied Crimea) - A Fire broke out in the area of #Donetsk railway station, probably due to #Ukrainian Shelling.

- #US announces new 775 million dollar Military Aid for Ukraine: Ammo for #HIMARS; 16 x 105-mm #howitzers and 36.000 Shells for them; 15 Scan Eagle #Drones; 40 MRAP Machines; 3. New Casualties:

- 4 wounded as a result of Russian Shelling of #Nikopol (#Dnipropetrovsk Region)

- 1 Killed as a result of #Russian Shelling of #Kharkiv (Kharkiv Region)

- Death Toll of yesterdays attacks on Khakiv rises to 17 killed and 42 wounded"
h,1559273981248770048,"Based.

#Ukraine #UkraineRussiaWar #SlavaUkraini #UkraineWillWin #ukrainearmy #Memes #MemeContest #Україна https://t.co/eERcdNZcOz A new musician who was not taught to watch his feet as a child is going to the Moscow metro 😁

#Ukraine #UkraineWillWin #PutinWarCriminal #SlavaUkraini #Україна https://t.co/MbUKWE0JvT"
h,1559543647271534593,I don't want to hear 💩 about gUn laws from the left while your @POTUS is STILL sending money to #Ukraine️!!!! How much security could we get for $775 MILLION for our public schools?!?! https://t.co/RQ2PnZBA5K
h,1559962270180188160,"I've read this manga multiple times! You should check it out, too!
 
#russian #NFTGiveaway #June

https://t.co/AZJ3r7lNip https://t.co/rm7srmxcwr"
h,1560200391492517888,"Every #Ukrainian deserve peace and a prosperous life. Russians, not so much. 
#russiaisateroriststate @amnesty where are you now?
OH..  It's Russia.  Guess it's OK then.  #russiaisaterrorisstate https://t.co/LTYbvZaXAw shit happens when you invade and try to kill another country #russiaisateroriststate #ukraine https://t.co/tloGE0WBZO @jmvasquez1974 fantastic job :) #SlavaUkraïni Orcs ""liberate"" cities from life. #Seversk, #Donetsk  region. This is how russia treating #ukraine.
#russiaisateroriststate https://t.co/BkL6wXuWXW A #Russian tank tried to shoot down a #Ukrainian satellite bought by volunteers with its turret 🤣🇺🇦
Didn't work. #SlavaUkraïni https://t.co/eQsZjIs9ey #Missile strike - destruction of the building of the #KhODA | #Kharkiv 2022
#SlavaUkraïni 🇺🇦🇺🇦
#russiaisateroriststate https://t.co/sJ8xzATuaq ""SES carried out search and rescue at the scene for two days. 9 people were saved, including 2 children, - said the press service of the State Emergency Service of #Ukraine in the #Kharkiv region. 
#russiaisateroriststate #orcs https://t.co/Bjlij2YSqG We detect the air defense of orcs in #Sevastopol
#russiaisaterrorisstate
It's on. https://t.co/tIMySVfHTU They will soon be empty of ammo
#SlavaUkraïni https://t.co/aDf5atu4ho Never trust a Russian
#russiaisaterrorisstate https://t.co/0v3OpmvqyL"
